,Session Properties,,Whats Visible in GUI,Space separated keywords
,,,,
,,,,
Timecode,Timecode Settings,Timecode frames-per-second,,
Timecode,Timecode Settings,Pull-up / pull-down,,
Timecode,Ext Timecode Offsets,Slave Timecode offset,,
Timecode,Ext Timecode Offsets,Timecode Generator offset,,
Timecode,JACK Transport/Time Settings,Ardour is JACK Time Master,,
,,,,
Sync,A/V Synchronization,Use Video Files FPS Instead of Timecode Value for Timeline and Video Monitor,,
Sync,A/V Synchronization,Apply Pull-Up/Down to Video Timeline and Video Monitor (Unless using JACK-sync),,
,,,,
Fades,Audio Fades,Declick when transport starts and stops,,
Fades,Audio Fades,Declick when monitor state changes,,
Fades,Audio Fades,Region fades active,,
Fades,Audio Fades,Region fades visible,,
,,,,
Media,Audio File Format,Sample format,,
Media,Audio File Format,File type,,
,,,,
Locations,File Locations,Search for audio files in,,
Locations,File Locations,Search for MIDI files in,,
,,,,
Filenames,File Naming,Prefix Track number,,
Filenames,File Naming,Prefix Take Name,,
,,,,
Monitoring,Monitoring,Track Input Monitoring automatically follows transport state (auto-input),,
Monitoring,Monitoring,Cue containing clips disables implicit (auto) disk monitoring for the track,,
Monitoring,Monitoring,Use monitor section in this session,,
,,,,
Meterbridge,Display Options,Show Midi Tracks,,
Meterbridge,Display Options,Show Busses,,
Meterbridge,Display Options,Include Master Bus,,
Meterbridge,Button Area,Rec-enable Button,,
Meterbridge,Button Area,Mute Button,,
Meterbridge,Button Area,Solo Button,,
Meterbridge,Button Area,Monitor Buttons,,
Meterbridge,Button Area,Fader as Gain Knob,,
Meterbridge,Name Labels,Track Name,,
,,,,
Misc,MIDI Options,Draw tool creates opaque MIDI regions,,
Misc,MIDI Options,MIDI region copies are independent,,
Misc,MIDI Options,Policy for handling overlapping notes on the same MIDI channel,,
Misc,Glue to Bars and Beats,Glue new markers to bars and beats,,
Misc,Glue to Bars and Beats,Glue new regions to bars and beats,,
Misc,Metronome,Always count-in when recording,,
Misc,Defaults,Use these settings as defaults,,
